Unnamed: 0,Unnamed: 0.1,GridName,GridRows,GridColumns,NumOfAgents,NumOfObstacles,InstanceId,BranchingFactor,ObstacleDensity,AvgDistanceToGoal,MaxDistanceToGoal,MinDistanceToGoal,AvgStartDistances,AvgGoalDistances,PointsAtSPRatio,A*+OD+ID Success,A*+OD+ID Runtime,A*+OD+ID Solution Cost,A*+OD+ID Expanded,A*+OD+ID Generated,A*+OD+ID Max Group Size,A*+OD+ID Min Group Size,A*+OD+ID Max Group,A*+OD+ID Solution Depth,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Success,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Solution Cost,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Expanded (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Generated (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Closed List Hits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Partial Expansions (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Adoptions (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Pruning Successes (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Pruning Failures (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Nodes Expanded With Goal Cost (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Look Ahead Nodes Created (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Conflicts Bypassed With Adoption (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Cardinal Conflict Splits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Semi-Cardinal Conflict Splits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Non-Cardinal Conflict Splits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes MDDs Built (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Nodes Pushed Back (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Restarts (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Max Group Size (HL),EPEA*/SIC Expanded,EPEA*/SIC Generated,EPEA*/SIC Reopened,EPEA*/SIC BPMX boosts,EPEA*/SIC Closed List Hits,EPEA*/SIC Reopened With Old H,EPEA*/SIC H Updated From Other Area,EPEA*/SIC Max expansion delay,EPEA*/SIC Quick Insertions,EPEA*/SIC Quick Insertions Cancelled,EPEA*/SIC Expanded Full States,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Quick Insertions,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Quick Insertions Cancelled,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Max Group,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Solution Depth,Basic-CBS/(A*/SIC)+ID Success,Basic-CBS/(A*/SIC)+ID Runtime,Basic-CBS/(A*/SIC)+ID Solution Cost,Basic-CBS/(A*/SIC)+ID Expanded,Basic-CBS/(A*/SIC)+ID Generated,Basic-CBS/(A*/SIC)+ID Max Group Size,Basic-CBS/(A*/SIC)+ID Min Group Size,Basic-CBS/(A*/SIC)+ID Max Group,Basic-CBS/(A*/SIC)+ID Solution Depth,ICTS 3E +ID Success,ICTS 3E +ID Runtime,ICTS 3E +ID Solution Cost,ICTS 3E +ID Expanded,ICTS 3E +ID Generated,ICTS 3E +ID Max Group Size,ICTS 3E +ID Min Group Size,ICTS 3E +ID Max Group,ICTS 3E +ID Solution Depth,EPEA*+ID Success,EPEA*+ID Runtime,EPEA*+ID Solution Cost,EPEA*+ID Expanded,EPEA*+ID Generated,EPEA*+ID Max Group Size,EPEA*+ID Min Group Size,EPEA*+ID Max Group,EPEA*+ID Solution Depth,Y,Y Success,Y Runtime,GridSize,Sparsity,bridges
5326,5326,Unknown,200,200,40,12000,1,9.09e+27,0.3,131.225,273,19,146.2329,126.2512,0.100025,1,2012.0131,5260,27997,65949,3,1,3,11,1,83769.6419,5260,263,312,17,35,0,0,0,0,0,0,33,47,10,0,0,0,3,1753490,1301842,836,0,3924167,0,0,41454,934998,157351,1266539,120,3,3,11,1,1825.3955,5260,6060,11711,3,1,3,11,1,2127.8219,5260,6082,11751,3,1,3,11,1,1720.6219,5260,18681,21131,3,1,3,11,EPEA*+ID Runtime,1,1720.6219,40000,0.0014285714285714286,3101
636,636,Unknown,70,70,45,1225,0,2.84e+31,0.25,46.8,112,0,47.38647,48.988409999999995,0.2606122,0,300000.0,-2,188767,530838,5,1,5,13,0,300000.0,-2,466,591,27,9,0,0,0,44,0,0,67,64,25,0,0,0,4,1017141,832778,15022,0,3850024,0,0,77744,535288,90696,748562,168,6,4,12,0,300000.0,-2,8039,15273,13,1,13,5,1,296529.9353,2125,4925,20455,7,1,7,19,0,300000.0,-2,152063,108177,7,1,7,12,ICTS 3E +ID Runtime,1,296529.9353,4900,0.012244897959183671,285
5703,5703,Unknown,8,8,7,3,5,78125.0,0.046875,6.142857143,10,4,4.357143,4.357143,0.625,1,2.1193,43,44,108,1,1,1,0,1,0.1187,43,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.836,43,44,108,1,1,1,0,1,0.8408,43,44,108,1,1,1,0,1,0.7899,43,44,108,1,1,1,0,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,0.1187,64,0.11475409836065575,1
1038,1038,Unknown,80,80,35,1920,0,2.91e+24,0.3,70.17142857,137,14,59.1619,62.93968,0.22296880000000002,1,78140.1603,2470,215250,545108,5,1,5,14,0,300000.0,-2,463,543,20,20,0,0,0,50,0,0,40,51,29,0,0,0,3,1778416,959624,11718,0,6320050,0,0,42453,719991,73041,914312,223,15,3,11,1,7702.2061,2470,3475,6480,6,1,6,14,1,2017.0138,2470,3039,6059,5,1,5,14,1,5068.3465,2470,53272,43584,5,1,5,14,ICTS 3E +ID Runtime,1,2017.0138,6400,0.0078125,523
2731,2731,Unknown,130,130,50,3380,1,8.88e+34,0.2,93.9,191,20,93.24863,88.8996,0.20005920000000002,1,3649.4840000000004,4695,5045,11148,1,1,1,0,1,939.5972,4695,12,25,0,0,0,0,0,12,0,0,0,3,9,0,0,0,1,9964,10702,8,0,4705,0,0,1554,8292,1724,9948,12,7,1,0,1,3700.3599,4695,5045,11148,1,1,1,0,1,3931.7403,4695,5045,11148,1,1,1,0,1,3790.8609,4695,5045,11148,1,1,1,0,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,939.5972,16900,0.003698224852071005,465
3891,3891,Unknown,160,160,30,7680,0,9.31e+20,0.3,127.03333329999998,241,7,101.6753,112.329,0.1055469,0,300000.0,-2,366748,725247,4,1,4,7,0,300000.0,-2,359,437,6,10,0,0,0,2,0,0,32,40,22,0,0,0,4,1809905,1345093,2719,0,6358111,0,0,93734,910276,184322,1302878,163,15,4,6,0,300000.0,-2,5164,10053,12,1,12,2,1,58555.7401,3826,4965,10431,4,1,4,15,0,300000.0,-2,255152,130172,4,1,4,7,ICTS 3E +ID Runtime,1,58555.7401,25600,0.0016741071428571428,2005
3890,3890,Unknown,160,160,25,7680,2,2.98e+17,0.3,117.16,281,31,118.0677,116.0369,0.09671875,1,868.4501,2931,3698,7690,2,1,2,2,1,361.2091,2931,8,17,0,0,0,0,0,3,0,0,4,4,0,0,0,0,1,4023,3784,2,0,1219,0,0,442,3188,421,3542,3,0,1,2,1,1109.4214,2931,3223,6267,2,1,2,2,1,1006.1260000000001,2931,3225,6267,2,1,2,2,1,1034.2383,2931,4245,7259,3,1,3,2,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,361.2091,25600,0.0013950892857142855,2090
1299,1299,Unknown,90,90,45,1620,0,2.84e+31,0.2,55.82222222,157,4,55.17875,56.62801999999999,0.2283951,1,2841.6758,2512,2920,7147,2,1,2,0,1,390.1683,2512,13,21,0,6,0,0,0,13,0,0,0,9,4,0,0,0,1,3607,4124,7,0,1396,0,0,456,3065,695,3564,12,3,1,0,1,2851.2293,2512,2547,5732,2,1,2,0,1,2848.0152,2512,2548,5730,2,1,2,0,1,2804.022,2512,2734,5945,2,1,2,0,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,390.1683,8100,0.006944444444444444,241
4680,4680,Unknown,190,190,70,0,0,8.47e+48,0.0,124.0571429,310,23,118.0129,125.3755,0.2075346,1,7754.5199,8684,10532,29457,1,1,1,0,1,420.1225,8684,9,16,0,3,0,0,0,9,0,0,0,3,6,0,0,0,1,4121,6262,0,0,1829,0,0,811,3957,1015,4121,9,4,1,0,1,7880.3435,8684,10532,29457,1,1,1,0,1,7887.2569,8684,10532,29457,1,1,1,0,1,8060.7493,8684,10532,29457,1,1,1,0,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,420.1225,36100,0.0019390581717451524,0
5083,5083,Unknown,200,200,60,2000,1,8.670000000000001e+41,0.05,146.7666667,326,13,134.9153,136.1382,0.185375,1,7256.675999999998,8806,9483,25608,1,1,1,0,1,1108.4019,8806,8,16,0,1,0,0,0,8,0,0,0,1,7,0,0,0,1,23030,24867,8,0,18479,0,0,15492,21572,2201,23030,7,5,1,0,1,7652.1448,8806,9483,25608,1,1,1,0,1,7373.5256,8806,9483,25608,1,1,1,0,1,7365.0594,8806,9483,25608,1,1,1,0,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,1108.4019,40000,0.0015789473684210526,26
