Model,Accuracy,Coverage,Cumsum(minutes),Notes
Model,Accuracy,Coverage,Cumsum(minutes),Notes
Random baseline,16.99%,73.90%,4604,
EPEA*+ID Runtime,10.90%,84.87%,3064,
MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,27.28%,52.16%,7709,
ICTS 3E +ID Runtime,12.95%,85.64%,3064,
A*+OD+ID Runtime,1.06%,78.87%,4141,
Basic-CBS/(A*/SIC)+ID Runtime,1.12%,62.26%,6227,
CBS/(A*/SIC) + BP + PC without smart tie breaking using Dynamic Lazy Open List with Heuristic MVC of Cardinal Conflict Graph Heuristic Runtime,46.68%,79.71%,3490,
Optimal Oracle,100.00%,100.00%,680,
Regression based classification,57.65%,88.75%,2207,This model is a super-model of 5 Regression models - one for each model - and then argmin for each regression output gives the classification
Regression based classification - balanced,35.81%,79.90%,3590,This model is a super-model of 5 Regression models - one for each model - and then argmin for each regression output gives the classification
XGBoost Classification Model ,80.80%,99.39%,776,
XGBoost Classification Model  - balanced,52.93%,92.24%,1926,
