A*+OD+ID Runtime,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,Basic-CBS/(A*/SIC)+ID Runtime,ICTS 3E +ID Runtime,EPEA*+ID Runtime,Y Runtime,GridSize,NumOfObstacles,AvgDistanceToGoal,MaxDistanceToGoal,MinDistanceToGoal,AvgStartDistances,AvgGoalDistances,NumOfAgents,ObstacleDensity,PointsAtSPRatio,Sparsity,bridges
666.2308,27088.8017,300000.0,549.5343,578.5424,549.5343,3600,0,37.72727273,85,4,38.863640000000004,39.53117,55,0.0,0.4486111,0.015277777777777776,0
454.1963,77.6157,432.1307,430.4837,438.9081,77.6157,3600,0,40.21666667,96,2,37.29399,38.91639,60,0.0,0.4880556,0.016666666666666666,0
474.4126,10354.6718,11302.3212,470.7512,454.5058,454.5058,3600,0,39.08333333,96,5,40.67104000000001,37.92514,60,0.0,0.4702778,0.016666666666666666,0
1013.0322,85197.7915,300000.0,766.4712,733.0136,733.0136,3600,0,39.15,77,1,39.87869,37.24535,60,0.0,0.4611111,0.016666666666666666,0
1377.3227,190259.5164,300000.0,1206.2647,1158.7456,1158.7456,3600,0,41.32307692,84,4,38.51469,37.9627,65,0.0,0.5263889,0.01805555555555556,0
681.4424,20559.6527,300000.0,656.0433,670.3469,656.0433,3600,0,34.6,76,7,39.47319,36.78415,65,0.0,0.4719445,0.01805555555555556,0
795.9103,359.8911,1075.3981,777.0668,787.1609,359.8911,3600,0,42.4,100,6,38.30117,38.838229999999996,65,0.0,0.5152778,0.01805555555555556,0
1420.8214,300000.0,300000.0,4101.4437,4004.0936,1420.8214,3600,0,37.52857143,87,6,36.33682,39.65795,70,0.0,0.5027778,0.019444444444444445,0
3476.4191,577.4897,3557.2753,3517.5475,3592.8803,577.4897,3600,0,39.01428571,94,4,36.89417,38.29578,70,0.0,0.48527780000000004,0.019444444444444445,0
2688.6531,717.1728,2750.4214,2717.4688,2634.1703,717.1728,3600,0,37.22857143,85,3,39.95895,37.8173,70,0.0,0.5197222,0.019444444444444445,0
3771.3948,601.1034,4097.0292,3840.2942,3793.1204,601.1034,3600,0,37.24,81,3,41.39228,38.17474,75,0.0,0.5122222,0.020833333333333332,0
4670.4028,300000.0,300000.0,4090.5517,3735.1779,3735.1779,3600,0,42.33333333,86,4,39.16281,38.63228,75,0.0,0.5666667,0.020833333333333332,0
7269.3116,300000.0,300000.0,8246.7659,6214.2738,6214.2738,3600,0,41.84,100,3,38.50456,40.86105,75,0.0,0.5841666,0.020833333333333332,0
6311.3018,300000.0,300000.0,7019.9321,5246.7099,5246.7099,3600,0,38.625,91,2,39.7534,38.65833,80,0.0,0.5786110999999999,0.022222222222222227,0
18054.5254,300000.0,300000.0,10584.6852,8543.6983,8543.6983,3600,0,36.55,84,2,36.18488,38.01513,80,0.0,0.5308333000000001,0.022222222222222227,0
8106.8421,300000.0,300000.0,5752.0683,5745.5369,5745.5369,3600,0,38.3375,88,2,38.44938,37.45833,80,0.0,0.5580556,0.022222222222222227,0
10540.0381,300000.0,300000.0,7566.0689,8219.3633,7566.0689,3600,0,41.18823529,103,3,38.808209999999995,40.03283,85,0.0,0.5963889,0.02361111111111111,0
300000.0,300000.0,20340.84,300000.0,300000.0,20340.84,3600,0,41.95294118,84,7,39.70944,39.687,85,0.0,0.6152778,0.02361111111111111,0
10925.7356,300000.0,300000.0,40370.7457,8966.0054,8966.0054,3600,0,35.45882353,86,3,37.64378,37.548559999999995,85,0.0,0.5355555000000001,0.02361111111111111,0
8.933300002000001,1.1232000009999998,16.8962,9.1263,9.070900001,1.1232000009999998,3600,180,31.8,47,16,27.066670000000002,38.26667,5,0.05,0.04555555,0.0014619883040935672,4
2.661800001,1.0301999990000001,8.878599999,17.8277,8.875500001,1.0301999990000001,3600,180,30.2,52,17,20.8,32.4,5,0.05,0.04305556,0.0014619883040935672,1
8.466000000000001,1.097900001,8.7794,17.764,14.1534,1.097900001,3600,180,32.0,55,6,25.2,33.866659999999996,5,0.05,0.04583333,0.0014619883040935672,3
52.4876,1.372499999,41.8802,45.2712,37.5888,1.372499999,3600,180,49.8,80,11,33.90909,34.636359999999996,10,0.05,0.13388889999999998,0.0029239766081871343,3
38.0949,30.2201,46.5657,37.3846,45.864,30.2201,3600,180,40.4,90,20,34.01818,28.709090000000003,10,0.05,0.1025,0.0029239766081871343,4
45.3854,27.2436,46.9633,37.4849,37.8067,27.2436,3600,180,44.3,81,15,36.05455,32.14545,10,0.05,0.11944439999999999,0.0029239766081871343,6
83.8181,1.6471,109.44200000000001,109.2997,101.7437,1.6471,3600,180,37.2,78,11,32.3,31.816670000000002,15,0.05,0.14111110000000002,0.0043859649122807015,1
75.5262,8.089699998,88.9514,92.4116,82.8056,8.089699998,3600,180,43.86666667,89,6,37.56667,35.3,15,0.05,0.165,0.0043859649122807015,3
