,GridName,GridRows,GridColumns,NumOfAgents,NumOfObstacles,InstanceId,BranchingFactor,ObstacleDensity,AvgDistanceToGoal,MaxDistanceToGoal,MinDistanceToGoal,AvgStartDistances,AvgGoalDistances,PointsAtSPRatio,A*+OD+ID Success,A*+OD+ID Runtime,A*+OD+ID Solution Cost,A*+OD+ID Expanded,A*+OD+ID Generated,A*+OD+ID Max Group Size,A*+OD+ID Min Group Size,A*+OD+ID Max Group,A*+OD+ID Solution Depth,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Success,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Solution Cost,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Expanded (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Generated (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Closed List Hits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Partial Expansions (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Adoptions (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Pruning Successes (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Pruning Failures (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Nodes Expanded With Goal Cost (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Look Ahead Nodes Created (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Conflicts Bypassed With Adoption (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Cardinal Conflict Splits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Semi-Cardinal Conflict Splits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Non-Cardinal Conflict Splits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes MDDs Built (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Nodes Pushed Back (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Restarts (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Max Group Size (HL),EPEA*/SIC Expanded,EPEA*/SIC Generated,EPEA*/SIC Reopened,EPEA*/SIC BPMX boosts,EPEA*/SIC Closed List Hits,EPEA*/SIC Reopened With Old H,EPEA*/SIC H Updated From Other Area,EPEA*/SIC Max expansion delay,EPEA*/SIC Quick Insertions,EPEA*/SIC Quick Insertions Cancelled,EPEA*/SIC Expanded Full States,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Quick Insertions,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Quick Insertions Cancelled,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Max Group,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Solution Depth,Basic-CBS/(A*/SIC)+ID Success,Basic-CBS/(A*/SIC)+ID Runtime,Basic-CBS/(A*/SIC)+ID Solution Cost,Basic-CBS/(A*/SIC)+ID Expanded,Basic-CBS/(A*/SIC)+ID Generated,Basic-CBS/(A*/SIC)+ID Max Group Size,Basic-CBS/(A*/SIC)+ID Min Group Size,Basic-CBS/(A*/SIC)+ID Max Group,Basic-CBS/(A*/SIC)+ID Solution Depth,ICTS 3E +ID Success,ICTS 3E +ID Runtime,ICTS 3E +ID Solution Cost,ICTS 3E +ID Expanded,ICTS 3E +ID Generated,ICTS 3E +ID Max Group Size,ICTS 3E +ID Min Group Size,ICTS 3E +ID Max Group,ICTS 3E +ID Solution Depth,EPEA*+ID Success,EPEA*+ID Runtime,EPEA*+ID Solution Cost,EPEA*+ID Expanded,EPEA*+ID Generated,EPEA*+ID Max Group Size,EPEA*+ID Min Group Size,EPEA*+ID Max Group,EPEA*+ID Solution Depth,Unnamed: 85,Y,Y Success,Y Runtime,GridSize,Sparsity
38,Unknown,8,8,6,0,8,15625,0.0,4.33333333333333,7,1,4.2380949999999995,4.2380949999999995,0.5,1,4.39350000000013,26,26,74,1,1,1,0,1,0.0600000000004002,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2.15660000000025,26,26,74,1,1,1,0,1,2.14519999999993,26,26,74,1,1,1,0,1,2.13109999999961,26,26,74,1,1,1,0,,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,0.0600000000004002,64,0.09375
39,Unknown,8,8,6,0,9,15625,0.0,7.16666666666667,9,5,3.6190480000000003,3.666667,0.453125,1,3.84640000000036,43,53,141,1,1,1,0,1,0.46669999999994605,43,2,4,0,1,0,0,0,2,0,0,0,1,1,0,0,0,1,27,43,1,0,5,0,0,4,21,7,27,2,0,1,0,1,2.51420000000053,43,53,141,1,1,1,0,1,2.79669999999987,43,53,141,1,1,1,0,1,2.5216000000000296,43,53,141,1,1,1,0,,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,0.46669999999994605,64,0.09375
40,Unknown,8,8,7,0,0,78125,0.0,5.571428571428571,10,3,3.285714,3.714286,0.53125,1,4.0711999999994095,39,41,120,1,1,1,0,1,0.7687000000005358,39,3,6,0,1,0,0,0,3,0,0,0,1,2,0,0,0,1,48,75,8,0,13,0,0,4,38,6,48,4,0,1,0,1,2.2330000000001697,39,41,120,1,1,1,0,1,2.20060000000012,39,41,120,1,1,1,0,1,1.9982,39,41,120,1,1,1,0,,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,0.7687000000005358,64,0.109375
41,Unknown,8,8,7,0,1,78125,0.0,5.571428571428571,8,2,3.642857,4.0,0.59375,1,6.2321999999994695,39,123,468,3,1,3,0,1,1.3837999999996102,39,5,11,0,0,0,0,0,5,0,0,1,3,1,0,0,0,1,86,115,0,0,12,0,0,9,71,14,81,4,0,1,0,1,4.282999999999451,39,42,118,3,1,3,0,1,3.7961999999997698,39,45,116,3,1,3,0,1,4.467499999999751,39,67,156,3,1,3,0,,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,1.3837999999996102,64,0.109375
42,Unknown,8,8,7,0,2,78125,0.0,6.0,12,1,4.928571,4.214286,0.5625,1,4.0698000000002095,42,42,117,1,1,1,0,1,0.38249999999970896,42,2,3,0,2,0,0,0,2,0,0,0,2,0,0,0,0,1,22,43,0,0,0,0,0,0,22,10,22,2,0,1,0,1,4.60229999999956,42,42,117,1,1,1,0,1,2.6444000000001298,42,42,117,1,1,1,0,1,2.76000000000022,42,42,117,1,1,1,0,,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,0.38249999999970896,64,0.109375
43,Unknown,8,8,7,0,3,78125,0.0,5.0,10,2,4.571429,3.785714,0.5625,1,4.2502000000004,35,35,107,1,1,1,0,1,0.29149999999936,35,1,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,6,10,0,0,0,0,0,0,6,1,6,1,0,1,0,1,5.26790000000074,35,35,107,1,1,1,0,1,2.36440000000039,35,35,107,1,1,1,0,1,4.88299999999981,35,35,107,1,1,1,0,,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,0.29149999999936,64,0.109375
44,Unknown,8,8,7,0,4,78125,0.0,5.428571428571429,12,2,4.071429,4.285714,0.609375,1,4.13340000000062,38,39,116,1,1,1,0,1,0.294300000001385,38,1,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,13,25,0,0,1,0,0,1,13,4,13,1,0,1,0,1,4.34749999999985,38,39,116,1,1,1,0,1,2.4621999999999398,38,39,116,1,1,1,0,1,2.52700000000004,38,39,116,1,1,1,0,,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,0.294300000001385,64,0.109375
45,Unknown,8,8,7,0,5,78125,0.0,5.28571428571429,7,3,3.857143,3.357143,0.484375,1,3.94759999999951,38,52,180,2,1,2,1,1,0.9347999999990859,38,4,9,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,76,93,0,0,7,0,0,4,54,9,72,3,1,1,1,1,5.6193000000002895,38,45,133,3,1,3,1,1,2.49049999999988,38,40,118,2,1,2,1,1,2.36849999999868,38,45,124,2,1,2,1,,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,0.9347999999990859,64,0.109375
46,Unknown,8,8,7,0,6,78125,0.0,6.571428571428571,11,3,3.571429,4.428571,0.609375,1,4.03050000000076,46,46,140,1,1,1,0,1,0.792400000000271,46,4,9,0,0,0,0,0,4,0,0,0,3,1,0,0,0,1,51,64,1,0,6,0,0,5,37,3,49,3,0,1,0,1,2.6138999999984702,46,46,140,1,1,1,0,1,2.6033999999999704,46,46,140,1,1,1,0,1,2.59649999999965,46,46,140,1,1,1,0,,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,0.792400000000271,64,0.109375
47,Unknown,8,8,7,0,7,78125,0.0,5.571428571428571,8,4,4.142857,4.142857,0.546875,1,19.5328000000009,40,655,2452,4,1,4,1,1,0.894599999999627,40,3,7,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,63,78,0,0,16,0,0,11,48,8,60,3,0,1,1,1,14.7454999999991,40,48,135,4,1,4,1,1,6.651399999998831,40,50,134,4,1,4,1,1,16.4369000000006,40,223,318,4,1,4,1,,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,0.894599999999627,64,0.109375
48,Unknown,8,8,7,0,8,78125,0.0,6.571428571428571,10,4,4.285714,4.928571,0.59375,1,5.50720000000001,46,47,131,1,1,1,0,1,0.46819999999934203,46,2,4,0,1,0,0,0,2,0,0,0,1,1,0,0,0,1,32,55,0,0,4,0,0,3,27,9,32,1,0,1,0,1,2.4286000000011,46,47,131,1,1,1,0,1,10.3498999999993,46,47,131,1,1,1,0,1,2.24120000000039,46,47,131,1,1,1,0,,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,0.46819999999934203,64,0.109375
