,GridName,GridRows,GridColumns,NumOfAgents,NumOfObstacles,InstanceId,BranchingFactor,ObstacleDensity,AvgDistanceToGoal,MaxDistanceToGoal,MinDistanceToGoal,AvgStartDistances,AvgGoalDistances,PointsAtSPRatio,A*+OD+ID Success,A*+OD+ID Runtime,A*+OD+ID Solution Cost,A*+OD+ID Expanded,A*+OD+ID Generated,A*+OD+ID Max Group Size,A*+OD+ID Min Group Size,A*+OD+ID Max Group,A*+OD+ID Solution Depth,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Success,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Solution Cost,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Expanded (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Generated (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Closed List Hits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Partial Expansions (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Adoptions (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Pruning Successes (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Pruning Failures (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Nodes Expanded With Goal Cost (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Look Ahead Nodes Created (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Conflicts Bypassed With Adoption (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Cardinal Conflict Splits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Semi-Cardinal Conflict Splits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Non-Cardinal Conflict Splits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes MDDs Built (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Nodes Pushed Back (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Restarts (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Max Group Size (HL),EPEA*/SIC Expanded,EPEA*/SIC Generated,EPEA*/SIC Reopened,EPEA*/SIC BPMX boosts,EPEA*/SIC Closed List Hits,EPEA*/SIC Reopened With Old H,EPEA*/SIC H Updated From Other Area,EPEA*/SIC Max expansion delay,EPEA*/SIC Quick Insertions,EPEA*/SIC Quick Insertions Cancelled,EPEA*/SIC Expanded Full States,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Quick Insertions,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Quick Insertions Cancelled,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Max Group,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Solution Depth,Basic-CBS/(A*/SIC)+ID Success,Basic-CBS/(A*/SIC)+ID Runtime,Basic-CBS/(A*/SIC)+ID Solution Cost,Basic-CBS/(A*/SIC)+ID Expanded,Basic-CBS/(A*/SIC)+ID Generated,Basic-CBS/(A*/SIC)+ID Max Group Size,Basic-CBS/(A*/SIC)+ID Min Group Size,Basic-CBS/(A*/SIC)+ID Max Group,Basic-CBS/(A*/SIC)+ID Solution Depth,ICTS 3E +ID Success,ICTS 3E +ID Runtime,ICTS 3E +ID Solution Cost,ICTS 3E +ID Expanded,ICTS 3E +ID Generated,ICTS 3E +ID Max Group Size,ICTS 3E +ID Min Group Size,ICTS 3E +ID Max Group,ICTS 3E +ID Solution Depth,EPEA*+ID Success,EPEA*+ID Runtime,EPEA*+ID Solution Cost,EPEA*+ID Expanded,EPEA*+ID Generated,EPEA*+ID Max Group Size,EPEA*+ID Min Group Size,EPEA*+ID Max Group,EPEA*+ID Solution Depth,Unnamed: 85,Y,Y Success,Y Runtime,GridSize,Sparsity
56,brc202d,481,530,35,211779,0,2.91038304567337e+24,0.830734,154.65714285714301,365,6,423.8349,419.9333,0.01562782,1,5721.05429999996,5415,24050,53078,2,1,2,2,1,86432.93630000019,5415,65,87,10,0,0,0,0,0,0,0,10,0,21,0,0,0,2,713069,519454,505,0,1966442,0,0,26741,429721,43340,491327,32,8,2,2,1,5318.28060000017,5415,5874,15820,2,1,2,2,1,5164.27000000048,5415,5876,15820,2,1,2,2,1,4966.41289999988,5415,18058,25321,2,1,2,2,,EPEA*+ID Runtime,1,4966.41289999988,254930,0.0008111051887557646
57,den502d,251,211,35,25726,1,2.91038304567337e+24,0.4857537,92.42857142857142,229,12,97.42381,82.68889,0.0490172,1,2416.58809999935,3235,3303,9086,1,1,1,0,1,135.167899999768,3235,4,7,0,2,0,0,0,4,0,0,0,2,2,0,0,0,1,1067,2115,0,0,18,0,0,18,1066,576,1067,4,1,1,0,1,2476.8694000001997,3235,3303,9086,1,1,1,0,1,2764.40130000003,3235,3303,9086,1,1,1,0,1,3109.8853000002,3235,3303,9086,1,1,1,0,,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,135.167899999768,52961,0.0012851110703139342
58,ost003d,194,194,35,24422,1,2.91038304567337e+24,0.6489,108.857142857143,211,17,158.0159,143.2127,0.04923477,0,300037.0579,-2,121236,277118,4,1,4,4,0,300012.471799999,-2,182,237,11,39,0,0,0,29,0,0,30,63,12,0,0,0,3,1740370,1140927,1633,0,5870658,0,0,75260,1033788,50932,1129844,93,8,3,5,1,16842.3905000007,3816,4811,11515,8,1,8,6,0,300006.457099999,-2,4767,11449,4,1,4,4,0,300042.3358,-2,422537,321735,5,1,5,4,,Basic-CBS/(A*/SIC)+ID Runtime,1,16842.3905000007,37636,0.002648705917965794
59,brc202d,481,530,35,211779,1,2.91038304567337e+24,0.830734,146.314285714286,380,27,439.2825,448.1175,0.01586318,1,5787.74469999969,5123,11722,27065,2,1,2,2,1,657.497300000861,5123,9,12,0,7,0,0,0,2,0,0,0,8,1,0,0,0,1,10293,8661,3,0,8618,0,0,2153,7408,720,7945,4,0,1,2,1,5422.76889999956,5123,5263,14295,2,1,2,2,1,5445.83379999921,5123,5266,14299,2,1,2,2,1,5707.87319999933,5123,9538,17503,2,1,2,2,,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,657.497300000861,254930,0.0008111051887557646
60,den502d,251,211,35,25726,2,2.91038304567337e+24,0.4857537,106.2,254,3,113.4222,101.2413,0.05558807,1,1741.97529999912,3717,3728,10537,1,1,1,0,1,373.309100000188,3717,4,7,0,2,0,0,0,4,0,0,0,3,1,0,0,0,1,5692,6243,1,0,4695,0,0,3157,5407,490,5669,3,1,1,0,1,2201.246199999,3717,3728,10537,1,1,1,0,1,2029.38269999996,3717,3728,10537,1,1,1,0,1,1767.7493000011898,3717,3728,10537,1,1,1,0,,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,373.309100000188,52961,0.0012851110703139342
61,ost003d,194,194,35,24422,2,2.91038304567337e+24,0.6489,96.42857142857142,267,6,155.7556,140.3492,0.04806568,0,300057.8716,-2,267528,596511,4,1,4,0,0,300023.33369999897,-2,33,46,0,17,0,0,0,11,0,0,6,22,2,0,0,0,3,735469,411139,727,0,6145022,0,0,517066,398865,6252,407791,10,1,3,3,1,29844.1078999992,3382,4033,9629,8,1,8,7,0,300002.495300001,-2,3915,9498,4,1,4,0,0,300014.4888,-2,151809,99580,4,1,4,0,,Basic-CBS/(A*/SIC)+ID Runtime,1,29844.1078999992,37636,0.002648705917965794
62,brc202d,481,530,35,211779,2,2.91038304567337e+24,0.830734,132.257142857143,449,9,388.6825,420.8191,0.01517279,1,4607.80370000005,4629,4643,12682,1,1,1,0,1,154.193399999291,4629,2,4,0,1,0,0,0,2,0,0,0,1,1,0,0,0,1,1747,2201,0,0,1024,0,0,770,1595,369,1747,1,0,1,0,1,4739.211299998689,4629,4643,12682,1,1,1,0,1,4714.51459999941,4629,4643,12682,1,1,1,0,1,4748.83170000091,4629,4643,12682,1,1,1,0,,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,154.193399999291,254930,0.0008111051887557646
63,den502d,251,211,40,25726,0,9.094947017729279e+27,0.4857537,114.425,279,19,92.03293000000001,102.2866,0.06112045,1,3856.82370000146,4577,6410,16557,1,1,1,0,1,749.538000000641,4577,9,18,0,1,0,0,0,9,0,0,0,5,4,0,0,0,1,11189,11019,5,0,8331,0,0,2565,9040,1029,9449,8,2,1,0,1,3863.63460000046,4577,6410,16557,1,1,1,0,1,4138.70009999909,4577,6410,16557,1,1,1,0,1,3883.19070000015,4577,6410,16557,1,1,1,0,,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,749.538000000641,52961,0.0014686983660730677
64,ost003d,194,194,40,24422,0,9.094947017729279e+27,0.6489,107.325,311,6,141.2268,140.6817,0.05779041,1,52261.5757999998,4302,159597,356709,2,1,2,9,0,300003.6887,-2,143,162,33,10,0,0,0,27,0,0,31,20,11,0,0,0,2,2063377,1408667,9467,0,6420670,0,0,82044,1217512,65160,1359361,49,1,2,6,1,103557.53250000099,4302,8266,18526,11,1,11,9,1,17531.8409000002,4302,8012,18059,2,1,2,9,1,18278.5231999997,4302,101857,94577,2,1,2,9,,ICTS 3E +ID Runtime,1,17531.8409000002,37636,0.003027092477675193
65,brc202d,481,530,40,211779,0,9.094947017729279e+27,0.830734,112.0,321,11,407.45,413.7378,0.01444318,1,3289.2050000000704,4480,5050,13401,1,1,1,0,1,515.098799999803,4480,6,13,0,0,0,0,0,6,0,0,0,1,5,0,0,0,1,6956,7715,0,0,4877,0,0,1846,5945,887,6341,6,3,1,0,1,3356.97880000062,4480,5050,13401,1,1,1,0,1,3416.4873000010803,4480,5050,13401,1,1,1,0,1,3392.27209999971,4480,5050,13401,1,1,1,0,,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,515.098799999803,254930,0.0009269773585780167
