type,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31
Instance-100-0-10-0,-0.031029699370265007,-1.4522149562835693,0.4744360148906708,-0.48217135667800903,-1.909659743309021,0.5137023329734802,0.006723999511450529,-1.216395378112793,0.3003753423690796,-1.5737359523773193,0.04677453637123108,-0.5881345272064209,-0.27818259596824646,-0.2896452248096466,-0.5091594457626343,0.8855351209640503,0.48853597044944763,0.0924086943268776,-1.6255197525024414,-1.3990490436553955,-1.7265849113464355,1.1975288391113281,0.3708891272544861,-1.5761761665344238,-0.47125905752182007,-1.6163017749786377,-1.0786895751953125,-0.46705299615859985,-1.2891477346420288,0.5950854420661926,0.17423948645591736,0.3756503164768219
Instance-100-0-10-1,0.04144354537129402,-1.5905559062957764,0.202704519033432,-0.7183645367622375,-2.092604637145996,0.5977004766464233,-0.23309515416622162,-1.2788057327270508,0.23167870938777924,-1.638789176940918,0.17396579682826996,-0.5915855169296265,-0.03740586340427399,-0.21996712684631348,-0.6846126317977905,0.8325145840644836,0.6773477792739868,0.12109528481960297,-1.682222843170166,-1.5215274095535278,-1.5961107015609741,1.3409180641174316,0.36440494656562805,-1.790475845336914,-0.2790837585926056,-1.6434017419815063,-1.048823595046997,-0.4597317576408386,-1.367103099822998,0.7528924345970154,-0.03962654620409012,0.4072014391422272
Instance-100-0-10-2,0.06800232827663422,-1.6161327362060547,0.03121616132557392,-0.9847607016563416,-2.1157450675964355,0.6478526592254639,-0.4438086748123169,-1.258481502532959,0.1695261001586914,-1.6871116161346436,0.35249006748199463,-0.5278431177139282,0.19845254719257355,-0.15988489985466003,-0.8499822616577148,0.6775834560394287,0.7348792552947998,0.06263730674982071,-1.59928297996521,-1.5743749141693115,-1.5185647010803223,1.3989319801330566,0.401973158121109,-1.8129968643188477,-0.06685901433229446,-1.6680611371994019,-0.9520947337150574,-0.4179292321205139,-1.3250075578689575,0.8664409518241882,-0.1820332407951355,0.4912092685699463
Instance-100-0-15-0,0.06637068092823029,-1.5092382431030273,-0.07377509772777557,-1.1467278003692627,-2.1105475425720215,0.6742773652076721,-0.632876992225647,-1.2795683145523071,0.1078333929181099,-1.6413800716400146,0.3977210521697998,-0.5671802759170532,0.38923320174217224,-0.1519795060157776,-0.9688363671302795,0.6041519045829773,0.7455200552940369,0.24715334177017212,-1.6620811223983765,-1.614203929901123,-1.4613380432128906,1.4607473611831665,0.3159126043319702,-1.8559763431549072,0.030738873407244682,-1.5816737413406372,-0.845108687877655,-0.4602803885936737,-1.2940860986709595,0.9002165794372559,-0.2662311792373657,0.5325328707695007
Instance-100-0-15-1,0.06005740910768509,-1.5084782838821411,-0.19318261742591858,-1.2376577854156494,-2.0561232566833496,0.70504230260849,-0.7316609025001526,-1.1981627941131592,-0.0005725443479605019,-1.6272259950637817,0.4728369116783142,-0.5463429689407349,0.48823729157447815,-0.09597665816545486,-1.08305025100708,0.6251333355903625,0.7649465203285217,0.18458639085292816,-1.6563916206359863,-1.593822717666626,-1.451075553894043,1.4260284900665283,0.3586587607860565,-1.8323317766189575,0.1690443754196167,-1.542729377746582,-0.832768440246582,-0.544744074344635,-1.3043276071548462,1.0304161310195923,-0.39243119955062866,0.46181821823120117
Instance-100-0-15-2,0.07276157289743423,-1.3170256614685059,-0.30859375,-1.3648573160171509,-1.9619948863983154,0.7249242663383484,-0.9180822372436523,-1.157740592956543,-0.006513066124171019,-1.5054659843444824,0.43589353561401367,-0.6370930075645447,0.637244701385498,0.002457837574183941,-1.1585808992385864,0.6381497383117676,0.7543998956680298,0.30381885170936584,-1.7295480966567993,-1.6813732385635376,-1.4039028882980347,1.4805365800857544,0.24979375302791595,-1.8531547784805298,0.3031896650791168,-1.498231053352356,-0.7311637997627258,-0.451632022857666,-1.2499711513519287,1.1187512874603271,-0.42098087072372437,0.5516575574874878
Instance-100-0-20-0,0.029415301978588104,-1.3278518915176392,-0.32353106141090393,-1.3886029720306396,-1.9394505023956299,0.7673361897468567,-0.9874799251556396,-1.1139189004898071,0.010502646677196026,-1.4648138284683228,0.5208281874656677,-0.66871178150177,0.721448540687561,-0.08855854719877243,-1.2753057479858398,0.661044180393219,0.7374511957168579,0.30071988701820374,-1.7777875661849976,-1.5733569860458374,-1.456827998161316,1.4408621788024902,0.23616765439510345,-1.8897252082824707,0.4063985347747803,-1.417136549949646,-0.6611686944961548,-0.46456366777420044,-1.218577265739441,1.1749347448349,-0.492493212223053,0.5964644551277161
Instance-100-0-20-1,0.055521830916404724,-1.2270326614379883,-0.28068771958351135,-1.389797329902649,-1.9796041250228882,0.7626731395721436,-0.9435293674468994,-1.1170518398284912,0.032817792147397995,-1.4035612344741821,0.4521985352039337,-0.652370274066925,0.7486180663108826,-0.11223425716161728,-1.3996001482009888,0.7219160199165344,0.6708248257637024,0.3647306561470032,-1.660581111907959,-1.5381603240966797,-1.4308722019195557,1.3744568824768066,0.1656206101179123,-1.9820743799209595,0.42997264862060547,-1.354791283607483,-0.6225869655609131,-0.4683622717857361,-1.1990903615951538,1.2135303020477295,-0.5503289699554443,0.5626259446144104
Instance-100-0-20-2,0.029288792982697487,-1.1751518249511719,-0.3954794406890869,-1.4583938121795654,-1.8453093767166138,0.8277778029441833,-1.0424283742904663,-1.0728561878204346,0.026155434548854828,-1.323441505432129,0.423593670129776,-0.6639568209648132,0.8400763273239136,-0.07606209814548492,-1.397922396659851,0.7068871855735779,0.7255074381828308,0.3834044635295868,-1.762609839439392,-1.5644956827163696,-1.3903311491012573,1.3746578693389893,0.1342531144618988,-1.9762557744979858,0.49328622221946716,-1.3040145635604858,-0.5310465097427368,-0.4809454083442688,-1.215622901916504,1.3158282041549683,-0.6333371996879578,0.6233002543449402
Instance-100-0-25-0,0.01596657931804657,-1.1216129064559937,-0.3363214433193207,-1.421538233757019,-1.8400120735168457,0.8080734014511108,-1.0667877197265625,-1.0103288888931274,0.040800128132104874,-1.3133456707000732,0.4382050335407257,-0.680294930934906,0.8109024167060852,-0.08721350878477097,-1.4402296543121338,0.75482577085495,0.6694777011871338,0.37336406111717224,-1.799432635307312,-1.4592682123184204,-1.4541040658950806,1.3519271612167358,0.14953400194644928,-2.0112133026123047,0.563972532749176,-1.2674822807312012,-0.5124843120574951,-0.4372901916503906,-1.1715847253799438,1.3456038236618042,-0.6214330792427063,0.6091319918632507
Instance-100-0-25-1,0.07289443165063858,-1.1016044616699219,-0.38592085242271423,-1.442834496498108,-1.794060468673706,0.8216481804847717,-1.1045798063278198,-0.9789983034133911,0.0369088388979435,-1.2942167520523071,0.42099297046661377,-0.6685563325881958,0.9093058109283447,-0.05569133535027504,-1.4736573696136475,0.7285584211349487,0.6499028205871582,0.32617539167404175,-1.764901041984558,-1.4693775177001953,-1.3464025259017944,1.3154973983764648,0.1540234535932541,-1.9816981554031372,0.6085600852966309,-1.2038311958312988,-0.4498297870159149,-0.41614896059036255,-1.1973663568496704,1.3502566814422607,-0.6955569982528687,0.6427257061004639
