,GridName,GridRows,GridColumns,NumOfAgents,NumOfObstacles,InstanceId,BranchingFactor,ObstacleDensity,AvgDistanceToGoal,MaxDistanceToGoal,MinDistanceToGoal,AvgStartDistances,AvgGoalDistances,PointsAtSPRatio,A*+OD+ID Success,A*+OD+ID Runtime,A*+OD+ID Solution Cost,A*+OD+ID Expanded,A*+OD+ID Generated,A*+OD+ID Max Group Size,A*+OD+ID Min Group Size,A*+OD+ID Max Group,A*+OD+ID Solution Depth,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Success,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Solution Cost,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Expanded (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Generated (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Closed List Hits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Partial Expansions (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Adoptions (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Pruning Successes (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Pruning Failures (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Nodes Expanded With Goal Cost (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Look Ahead Nodes Created (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Conflicts Bypassed With Adoption (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Cardinal Conflict Splits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Semi-Cardinal Conflict Splits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Non-Cardinal Conflict Splits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes MDDs Built (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Nodes Pushed Back (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Restarts (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Max Group Size (HL),EPEA*/SIC Expanded,EPEA*/SIC Generated,EPEA*/SIC Reopened,EPEA*/SIC BPMX boosts,EPEA*/SIC Closed List Hits,EPEA*/SIC Reopened With Old H,EPEA*/SIC H Updated From Other Area,EPEA*/SIC Max expansion delay,EPEA*/SIC Quick Insertions,EPEA*/SIC Quick Insertions Cancelled,EPEA*/SIC Expanded Full States,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Quick Insertions,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Quick Insertions Cancelled,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Max Group,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Solution Depth,Basic-CBS/(A*/SIC)+ID Success,Basic-CBS/(A*/SIC)+ID Runtime,Basic-CBS/(A*/SIC)+ID Solution Cost,Basic-CBS/(A*/SIC)+ID Expanded,Basic-CBS/(A*/SIC)+ID Generated,Basic-CBS/(A*/SIC)+ID Max Group Size,Basic-CBS/(A*/SIC)+ID Min Group Size,Basic-CBS/(A*/SIC)+ID Max Group,Basic-CBS/(A*/SIC)+ID Solution Depth,ICTS 3E +ID Success,ICTS 3E +ID Runtime,ICTS 3E +ID Solution Cost,ICTS 3E +ID Expanded,ICTS 3E +ID Generated,ICTS 3E +ID Max Group Size,ICTS 3E +ID Min Group Size,ICTS 3E +ID Max Group,ICTS 3E +ID Solution Depth,EPEA*+ID Success,EPEA*+ID Runtime,EPEA*+ID Solution Cost,EPEA*+ID Expanded,EPEA*+ID Generated,EPEA*+ID Max Group Size,EPEA*+ID Min Group Size,EPEA*+ID Max Group,EPEA*+ID Solution Depth,Y,Y Success,Y Runtime,GridSize,Sparsity
10,empty-16-16,16,16,11,0,5,48828125.0,0.0,10.18181818,20,2,9.454545,8.121212,0.41015630000000003,1,26.0307,112,112,332,1,1,1,0,1,0.7071,112,1,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,24,43,0,0,4,0,0,4,23,7,24,1,0,1,0,1,46.0214,112,112,332,1,1,1,0,1,35.7053,112,112,332,1,1,1,0,1,42.9656,112,112,332,1,1,1,0,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,0.7071,256,0.04296875
11,empty-16-16,16,16,12,0,5,244140625.0,0.0,10.41666667,20,2,9.666667,8.320513,0.453125,1,26.291,125,126,361,1,1,1,0,1,0.522,125,1,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,24,43,0,0,4,0,0,4,23,7,24,1,0,1,0,1,10.6855,125,126,361,1,1,1,0,1,25.1969,125,126,361,1,1,1,0,1,29.4865,125,126,361,1,1,1,0,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,0.522,256,0.046875
12,empty-16-16,16,16,13,0,5,1220703125.0,0.0,10.53846154,20,2,9.384615,8.901099,0.46875,1,47.9521,138,200,624,2,1,2,1,1,19.8481,138,7,14,0,1,0,0,0,0,0,0,1,6,0,0,0,0,1,253,303,0,0,51,0,0,21,204,17,241,6,0,1,1,1,141.4541,138,144,412,2,1,2,1,1,174.5496,138,141,402,2,1,2,1,1,39.6821,138,178,450,2,1,2,1,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,19.8481,256,0.05078125
13,empty-16-16,16,16,14,0,5,6103515625.0,0.0,10.57142857,20,2,9.361905,8.580953,0.484375,1,47.7066,149,218,670,2,1,2,1,1,69.2371,149,16,30,0,1,0,0,0,0,0,0,1,11,2,0,0,0,2,543,677,1,0,109,0,0,21,436,47,520,12,1,2,1,1,107.0709,149,162,458,2,1,2,1,1,43.4747,149,159,448,2,1,2,1,1,52.9417,149,196,496,2,1,2,1,ICTS 3E +ID Runtime,1,43.4747,256,0.0546875
14,empty-16-16,16,16,15,0,5,30517578125.0,0.0,10.73333333,20,2,9.85,8.35,0.515625,1,34.0529,162,231,704,2,1,2,1,1,54.1683,162,18,34,0,1,0,0,0,0,0,0,2,11,3,0,0,0,2,674,850,6,0,214,0,0,34,515,49,640,13,2,2,1,1,135.6568,162,191,525,3,1,3,1,1,63.9093,162,172,482,2,1,2,1,1,45.8576,162,209,530,2,1,2,1,A*+OD+ID Runtime,1,34.0529,256,0.05859375
15,empty-16-16,16,16,16,0,5,152588000000.0,0.0,10.5625,20,2,10.10294,8.183824000000001,0.53125,1,35.9628,171,291,948,2,1,2,2,1,189.1834,171,52,85,0,1,0,0,0,0,0,0,8,20,5,0,0,0,2,1991,2375,21,0,717,0,0,34,1445,184,1814,25,2,2,2,1,148.6768,171,205,564,3,1,3,2,1,42.6851,171,183,511,2,1,2,2,1,87.3001,171,245,587,2,1,2,2,A*+OD+ID Runtime,1,35.9628,256,0.0625
16,empty-16-16,16,16,17,0,5,762939000000.0,0.0,10.11764706,20,2,9.882353,8.287581,0.53125,1,54.0811,174,294,958,2,1,2,2,1,137.653,174,52,85,0,1,0,0,0,0,0,0,8,20,5,0,0,0,2,2007,2391,37,0,733,0,0,34,1454,184,1830,25,2,2,2,1,145.2619,174,208,574,3,1,3,2,1,92.3999,174,186,521,2,1,2,2,1,78.205,174,248,597,2,1,2,2,A*+OD+ID Runtime,1,54.0811,256,0.06640625
17,empty-16-16,16,16,18,0,5,3814700000000.0,0.0,10.0,20,2,9.982455999999999,8.263158,0.5390625,1,27.9344,182,323,1073,2,1,2,2,1,212.2908,182,73,114,0,1,0,0,0,0,0,0,4,24,13,0,0,0,2,2558,3181,30,0,907,0,0,35,1899,260,2348,36,4,2,2,1,153.9045,182,226,618,6,1,6,2,1,94.6439,182,200,551,2,1,2,2,1,72.9297,182,269,645,2,1,2,2,A*+OD+ID Runtime,1,27.9344,256,0.0703125
18,empty-16-16,16,16,19,0,5,19073500000000.0,0.0,10.31578947,20,2,10.16842,8.568421,0.5625,1,36.6002,198,349,1138,2,1,2,2,1,209.1207,198,73,114,0,1,0,0,0,0,0,0,4,24,13,0,0,0,2,2565,3189,30,0,913,0,0,35,1904,262,2355,36,4,2,2,1,191.6675,198,252,683,6,1,6,2,1,43.7287,198,226,616,2,1,2,2,1,135.0452,198,295,710,2,1,2,2,A*+OD+ID Runtime,1,36.6002,256,0.07421875
19,empty-16-16,16,16,20,0,5,95367400000000.0,0.0,10.1,20,2,10.2,8.419047,0.578125,1,37.6731,204,355,1157,2,1,2,2,1,392.777,204,83,128,0,1,0,0,0,0,0,0,8,21,16,0,0,0,3,3188,3919,73,0,1964,0,0,228,2266,369,2948,45,4,3,2,1,187.3128,204,263,712,7,1,7,2,1,62.5675,204,232,635,2,1,2,2,1,53.3317,204,301,729,2,1,2,2,A*+OD+ID Runtime,1,37.6731,256,0.078125
20,empty-16-16,16,16,21,0,5,476837000000000.0,0.0,9.761904762,20,2,10.05195,8.502165,0.5859375,1,40.5745,208,423,1436,3,1,3,3,1,1379.2939999999999,208,160,237,0,3,0,0,0,0,0,0,10,41,28,0,0,0,3,9485,11125,283,0,11490,0,0,228,5695,1036,8641,78,10,3,3,1,668.6842,208,290,772,7,1,7,3,1,106.9741,208,241,652,3,1,3,3,1,71.5547,208,340,776,2,1,2,3,A*+OD+ID Runtime,1,40.5745,256,0.08203125
21,empty-16-16,16,16,22,0,5,2380000000000000.0,0.0,10.13636364,20,2,10.18182,8.43083,0.6054688,1,81.7842,227,834,2718,3,1,3,4,1,5610.7652,227,303,384,16,10,0,0,0,0,0,0,9,54,43,0,0,0,3,42194,49296,1681,0,71076,0,0,441,25419,6342,38342,117,9,3,4,0,300002.6958,-2,289,770,5,1,5,1,1,397.5819,227,308,795,4,1,4,4,1,24.391,227,569,1070,2,1,2,4,EPEA*+ID Runtime,1,24.391,256,0.0859375
22,empty-16-16,16,16,23,0,5,1.19e+16,0.0,9.913043477999999,20,2,10.35507,8.42029,0.6171875,1,21.1242,232,839,2734,3,1,3,4,1,1636.2231,232,353,444,12,23,0,0,0,0,0,0,10,67,43,0,0,0,3,47999,56205,1770,0,79826,0,0,440,29130,7292,43750,175,9,3,4,0,300000.0,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,1,27.3375,232,305,786,3,1,3,4,1,23.6327,232,574,1086,2,1,2,4,A*+OD+ID Runtime,1,21.1242,256,0.08984375
23,empty-16-16,16,16,24,0,5,5.96e+16,0.0,10.125,20,2,10.75,8.513333,0.6445313,1,22.7969,247,854,2779,3,1,3,4,1,1654.9525,247,352,443,12,22,0,0,0,1,0,0,10,66,43,0,0,0,3,48306,56372,1863,0,80550,0,0,440,28886,7031,44016,169,9,3,4,0,300000.0,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,1,25.7309,247,320,831,3,1,3,4,1,22.6537,247,589,1131,2,1,2,4,EPEA*+ID Runtime,1,22.6537,256,0.09375
24,empty-16-16,16,16,25,0,5,2.98e+17,0.0,9.88,20,2,10.83692,8.609231,0.6523438,1,23.299,251,858,2791,3,1,3,4,1,1647.4614,251,352,443,12,22,0,0,0,1,0,0,10,66,43,0,0,0,3,48306,56372,1863,0,80550,0,0,440,28886,7031,44016,169,9,3,4,0,300000.0,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,1,25.3396,251,324,843,3,1,3,4,1,22.1499,251,593,1143,2,1,2,4,EPEA*+ID Runtime,1,22.1499,256,0.09765625
25,empty-16-16,16,16,26,0,5,1.49e+18,0.0,9.769230769,20,2,10.77208,8.566952,0.65625,1,26.1422,258,845,2755,3,1,3,4,1,2241.2398,258,489,601,13,25,0,0,0,0,0,0,8,75,61,0,0,0,3,64316,77347,4668,0,107960,0,0,446,36258,9068,58479,260,20,3,4,0,300000.0,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,1,29.419,258,331,865,3,1,3,4,1,23.4831,258,600,1165,2,1,2,4,EPEA*+ID Runtime,1,23.4831,256,0.1015625
