GridName,GridRows,GridColumns,NumOfAgents,NumOfObstacles,InstanceId,BranchingFactor,ObstacleDensity,AvgDistanceToGoal,MaxDistanceToGoal,MinDistanceToGoal,AvgStartDistances,AvgGoalDistances,PointsAtSPRatio,A*+OD+ID Success,A*+OD+ID Runtime,A*+OD+ID Solution Cost,A*+OD+ID Expanded,A*+OD+ID Generated,A*+OD+ID Max Group Size,A*+OD+ID Min Group Size,A*+OD+ID Max Group,A*+OD+ID Solution Depth,MA-CBS-Global-10/(A*+OD/SIC) choosing the first conflict in CBS nodes Success,MA-CBS-Global-10/(A*+OD/SIC) choosing the first conflict in CBS nodes Runtime,MA-CBS-Global-10/(A*+OD/SIC) choosing the first conflict in CBS nodes Solution Cost,MA-CBS-Global-10/(A*+OD/SIC) choosing the first conflict in CBS nodes Expanded (HL),MA-CBS-Global-10/(A*+OD/SIC) choosing the first conflict in CBS nodes Generated (HL),MA-CBS-Global-10/(A*+OD/SIC) choosing the first conflict in CBS nodes Closed List Hits (HL),MA-CBS-Global-10/(A*+OD/SIC) choosing the first conflict in CBS nodes Partial Expansions (HL),MA-CBS-Global-10/(A*+OD/SIC) choosing the first conflict in CBS nodes Adoptions (HL),MA-CBS-Global-10/(A*+OD/SIC) choosing the first conflict in CBS nodes Pruning Successes (HL),MA-CBS-Global-10/(A*+OD/SIC) choosing the first conflict in CBS nodes Pruning Failures (HL),MA-CBS-Global-10/(A*+OD/SIC) choosing the first conflict in CBS nodes Nodes Expanded With Goal Cost (HL),MA-CBS-Global-10/(A*+OD/SIC) choosing the first conflict in CBS nodes Look Ahead Nodes Created (HL),MA-CBS-Global-10/(A*+OD/SIC) choosing the first conflict in CBS nodes Conflicts Bypassed With Adoption (HL),MA-CBS-Global-10/(A*+OD/SIC) choosing the first conflict in CBS nodes Cardinal Conflict Splits (HL),MA-CBS-Global-10/(A*+OD/SIC) choosing the first conflict in CBS nodes Semi-Cardinal Conflict Splits (HL),MA-CBS-Global-10/(A*+OD/SIC) choosing the first conflict in CBS nodes Non-Cardinal Conflict Splits (HL),MA-CBS-Global-10/(A*+OD/SIC) choosing the first conflict in CBS nodes MDDs Built (HL),MA-CBS-Global-10/(A*+OD/SIC) choosing the first conflict in CBS nodes Nodes Pushed Back (HL),MA-CBS-Global-10/(A*+OD/SIC) choosing the first conflict in CBS nodes Restarts (HL),MA-CBS-Global-10/(A*+OD/SIC) choosing the first conflict in CBS nodes Max Group Size (HL),A*+OD/SIC Expanded,A*+OD/SIC Generated,A*+OD/SIC Reopened,A*+OD/SIC BPMX boosts,A*+OD/SIC Closed List Hits,A*+OD/SIC Reopened With Old H,A*+OD/SIC H Updated From Other Area,A*+OD/SIC Max expansion delay,A*+OD/SIC Quick Insertions,A*+OD/SIC Quick Insertions Cancelled,A*+OD/SIC Expanded Full States,A*+OD/SIC Generated Full States,MA-CBS-Global-10/(A*+OD/SIC) choosing the first conflict in CBS nodes Quick Insertions,MA-CBS-Global-10/(A*+OD/SIC) choosing the first conflict in CBS nodes Quick Insertions Cancelled,MA-CBS-Global-10/(A*+OD/SIC) choosing the first conflict in CBS nodes Max Group,MA-CBS-Global-10/(A*+OD/SIC) choosing the first conflict in CBS nodes Solution Depth,MA-CBS-Local-10/(single:A*/SIC multi:A*+OD/SIC) choosing the first conflict in CBS nodes Success,MA-CBS-Local-10/(single:A*/SIC multi:A*+OD/SIC) choosing the first conflict in CBS nodes Runtime,MA-CBS-Local-10/(single:A*/SIC multi:A*+OD/SIC) choosing the first conflict in CBS nodes Solution Cost,MA-CBS-Local-10/(single:A*/SIC multi:A*+OD/SIC) choosing the first conflict in CBS nodes Expanded (HL),MA-CBS-Local-10/(single:A*/SIC multi:A*+OD/SIC) choosing the first conflict in CBS nodes Generated (HL),MA-CBS-Local-10/(single:A*/SIC multi:A*+OD/SIC) choosing the first conflict in CBS nodes Closed List Hits (HL),MA-CBS-Local-10/(single:A*/SIC multi:A*+OD/SIC) choosing the first conflict in CBS nodes Partial Expansions (HL),MA-CBS-Local-10/(single:A*/SIC multi:A*+OD/SIC) choosing the first conflict in CBS nodes Adoptions (HL),MA-CBS-Local-10/(single:A*/SIC multi:A*+OD/SIC) choosing the first conflict in CBS nodes Pruning Successes (HL),MA-CBS-Local-10/(single:A*/SIC multi:A*+OD/SIC) choosing the first conflict in CBS nodes Pruning Failures (HL),MA-CBS-Local-10/(single:A*/SIC multi:A*+OD/SIC) choosing the first conflict in CBS nodes Nodes Expanded With Goal Cost (HL),MA-CBS-Local-10/(single:A*/SIC multi:A*+OD/SIC) choosing the first conflict in CBS nodes Look Ahead Nodes Created (HL),MA-CBS-Local-10/(single:A*/SIC multi:A*+OD/SIC) choosing the first conflict in CBS nodes Conflicts Bypassed With Adoption (HL),MA-CBS-Local-10/(single:A*/SIC multi:A*+OD/SIC) choosing the first conflict in CBS nodes Cardinal Conflict Splits (HL),MA-CBS-Local-10/(single:A*/SIC multi:A*+OD/SIC) choosing the first conflict in CBS nodes Semi-Cardinal Conflict Splits (HL),MA-CBS-Local-10/(single:A*/SIC multi:A*+OD/SIC) choosing the first conflict in CBS nodes Non-Cardinal Conflict Splits (HL),MA-CBS-Local-10/(single:A*/SIC multi:A*+OD/SIC) choosing the first conflict in CBS nodes MDDs Built (HL),MA-CBS-Local-10/(single:A*/SIC multi:A*+OD/SIC) choosing the first conflict in CBS nodes Nodes Pushed Back (HL),MA-CBS-Local-10/(single:A*/SIC multi:A*+OD/SIC) choosing the first conflict in CBS nodes Restarts (HL),MA-CBS-Local-10/(single:A*/SIC multi:A*+OD/SIC) choosing the first conflict in CBS nodes Max Group Size (HL),A*+OD/SIC Expanded,A*+OD/SIC Generated,A*+OD/SIC Reopened,A*+OD/SIC BPMX boosts,A*+OD/SIC Closed List Hits,A*+OD/SIC Reopened With Old H,A*+OD/SIC H Updated From Other Area,A*+OD/SIC Max expansion delay,A*+OD/SIC Quick Insertions,A*+OD/SIC Quick Insertions Cancelled,A*+OD/SIC Expanded Full States,A*+OD/SIC Generated Full States,A*/SIC Expanded,A*/SIC Generated,A*/SIC Reopened,A*/SIC BPMX boosts,A*/SIC Closed List Hits,A*/SIC Reopened With Old H,A*/SIC H Updated From Other Area,A*/SIC Max expansion delay,A*/SIC Quick Insertions,A*/SIC Quick Insertions Cancelled,MA-CBS-Local-10/(single:A*/SIC multi:A*+OD/SIC) choosing the first conflict in CBS nodes Quick Insertions,MA-CBS-Local-10/(single:A*/SIC multi:A*+OD/SIC) choosing the first conflict in CBS nodes Quick Insertions Cancelled,MA-CBS-Local-10/(single:A*/SIC multi:A*+OD/SIC) choosing the first conflict in CBS nodes Max Group,MA-CBS-Local-10/(single:A*/SIC multi:A*+OD/SIC) choosing the first conflict in CBS nodes Solution Depth,Basic-CBS/(A*+OD/SIC) choosing the first conflict in CBS nodes Success,Basic-CBS/(A*+OD/SIC) choosing the first conflict in CBS nodes Runtime,Basic-CBS/(A*+OD/SIC) choosing the first conflict in CBS nodes Solution Cost,Basic-CBS/(A*+OD/SIC) choosing the first conflict in CBS nodes Expanded (HL),Basic-CBS/(A*+OD/SIC) choosing the first conflict in CBS nodes Generated (HL),Basic-CBS/(A*+OD/SIC) choosing the first conflict in CBS nodes Closed List Hits (HL),Basic-CBS/(A*+OD/SIC) choosing the first conflict in CBS nodes Partial Expansions (HL),Basic-CBS/(A*+OD/SIC) choosing the first conflict in CBS nodes Adoptions (HL),Basic-CBS/(A*+OD/SIC) choosing the first conflict in CBS nodes Pruning Successes (HL),Basic-CBS/(A*+OD/SIC) choosing the first conflict in CBS nodes Pruning Failures (HL),Basic-CBS/(A*+OD/SIC) choosing the first conflict in CBS nodes Nodes Expanded With Goal Cost (HL),Basic-CBS/(A*+OD/SIC) choosing the first conflict in CBS nodes Look Ahead Nodes Created (HL),Basic-CBS/(A*+OD/SIC) choosing the first conflict in CBS nodes Conflicts Bypassed With Adoption (HL),Basic-CBS/(A*+OD/SIC) choosing the first conflict in CBS nodes Cardinal Conflict Splits (HL),Basic-CBS/(A*+OD/SIC) choosing the first conflict in CBS nodes Semi-Cardinal Conflict Splits (HL),Basic-CBS/(A*+OD/SIC) choosing the first conflict in CBS nodes Non-Cardinal Conflict Splits (HL),Basic-CBS/(A*+OD/SIC) choosing the first conflict in CBS nodes MDDs Built (HL),Basic-CBS/(A*+OD/SIC) choosing the first conflict in CBS nodes Nodes Pushed Back (HL),Basic-CBS/(A*+OD/SIC) choosing the first conflict in CBS nodes Restarts (HL),Basic-CBS/(A*+OD/SIC) choosing the first conflict in CBS nodes Max Group Size (HL),A*+OD/SIC Expanded,A*+OD/SIC Generated,A*+OD/SIC Reopened,A*+OD/SIC BPMX boosts,A*+OD/SIC Closed List Hits,A*+OD/SIC Reopened With Old H,A*+OD/SIC H Updated From Other Area,A*+OD/SIC Max expansion delay,A*+OD/SIC Quick Insertions,A*+OD/SIC Quick Insertions Cancelled,A*+OD/SIC Expanded Full States,A*+OD/SIC Generated Full States,Basic-CBS/(A*+OD/SIC) choosing the first conflict in CBS nodes Quick Insertions,Basic-CBS/(A*+OD/SIC) choosing the first conflict in CBS nodes Quick Insertions Cancelled,Basic-CBS/(A*+OD/SIC) choosing the first conflict in CBS nodes Max Group,Basic-CBS/(A*+OD/SIC) choosing the first conflict in CBS nodes Solution Depth,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Success,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Solution Cost,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Expanded (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Generated (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Closed List Hits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Partial Expansions (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Adoptions (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Pruning Successes (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Pruning Failures (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Nodes Expanded With Goal Cost (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Look Ahead Nodes Created (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Conflicts Bypassed With Adoption (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Cardinal Conflict Splits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Semi-Cardinal Conflict Splits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Non-Cardinal Conflict Splits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes MDDs Built (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Nodes Pushed Back (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Restarts (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Max Group Size (HL),EPEA*/SIC Expanded,EPEA*/SIC Generated,EPEA*/SIC Reopened,EPEA*/SIC BPMX boosts,EPEA*/SIC Closed List Hits,EPEA*/SIC Reopened With Old H,EPEA*/SIC H Updated From Other Area,EPEA*/SIC Max expansion delay,EPEA*/SIC Quick Insertions,EPEA*/SIC Quick Insertions Cancelled,EPEA*/SIC Expanded Full States,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Quick Insertions,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Quick Insertions Cancelled,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Max Group,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Solution Depth,MA-CBS-Local-10/(single:A*/SIC multi:EPEA*/SIC) choosing the first conflict in CBS nodes Success,MA-CBS-Local-10/(single:A*/SIC multi:EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,MA-CBS-Local-10/(single:A*/SIC multi:EPEA*/SIC) choosing the first conflict in CBS nodes Solution Cost,MA-CBS-Local-10/(single:A*/SIC multi:EPEA*/SIC) choosing the first conflict in CBS nodes Expanded (HL),MA-CBS-Local-10/(single:A*/SIC multi:EPEA*/SIC) choosing the first conflict in CBS nodes Generated (HL),MA-CBS-Local-10/(single:A*/SIC multi:EPEA*/SIC) choosing the first conflict in CBS nodes Closed List Hits (HL),MA-CBS-Local-10/(single:A*/SIC multi:EPEA*/SIC) choosing the first conflict in CBS nodes Partial Expansions (HL),MA-CBS-Local-10/(single:A*/SIC multi:EPEA*/SIC) choosing the first conflict in CBS nodes Adoptions (HL),MA-CBS-Local-10/(single:A*/SIC multi:EPEA*/SIC) choosing the first conflict in CBS nodes Pruning Successes (HL),MA-CBS-Local-10/(single:A*/SIC multi:EPEA*/SIC) choosing the first conflict in CBS nodes Pruning Failures (HL),MA-CBS-Local-10/(single:A*/SIC multi:EPEA*/SIC) choosing the first conflict in CBS nodes Nodes Expanded With Goal Cost (HL),MA-CBS-Local-10/(single:A*/SIC multi:EPEA*/SIC) choosing the first conflict in CBS nodes Look Ahead Nodes Created (HL),MA-CBS-Local-10/(single:A*/SIC multi:EPEA*/SIC) choosing the first conflict in CBS nodes Conflicts Bypassed With Adoption (HL),MA-CBS-Local-10/(single:A*/SIC multi:EPEA*/SIC) choosing the first conflict in CBS nodes Cardinal Conflict Splits (HL),MA-CBS-Local-10/(single:A*/SIC multi:EPEA*/SIC) choosing the first conflict in CBS nodes Semi-Cardinal Conflict Splits (HL),MA-CBS-Local-10/(single:A*/SIC multi:EPEA*/SIC) choosing the first conflict in CBS nodes Non-Cardinal Conflict Splits (HL),MA-CBS-Local-10/(single:A*/SIC multi:EPEA*/SIC) choosing the first conflict in CBS nodes MDDs Built (HL),MA-CBS-Local-10/(single:A*/SIC multi:EPEA*/SIC) choosing the first conflict in CBS nodes Nodes Pushed Back (HL),MA-CBS-Local-10/(single:A*/SIC multi:EPEA*/SIC) choosing the first conflict in CBS nodes Restarts (HL),MA-CBS-Local-10/(single:A*/SIC multi:EPEA*/SIC) choosing the first conflict in CBS nodes Max Group Size (HL),EPEA*/SIC Expanded,EPEA*/SIC Generated,EPEA*/SIC Reopened,EPEA*/SIC BPMX boosts,EPEA*/SIC Closed List Hits,EPEA*/SIC Reopened With Old H,EPEA*/SIC H Updated From Other Area,EPEA*/SIC Max expansion delay,EPEA*/SIC Quick Insertions,EPEA*/SIC Quick Insertions Cancelled,EPEA*/SIC Expanded Full States,A*/SIC Expanded,A*/SIC Generated,A*/SIC Reopened,A*/SIC BPMX boosts,A*/SIC Closed List Hits,A*/SIC Reopened With Old H,A*/SIC H Updated From Other Area,A*/SIC Max expansion delay,A*/SIC Quick Insertions,A*/SIC Quick Insertions Cancelled,MA-CBS-Local-10/(single:A*/SIC multi:EPEA*/SIC) choosing the first conflict in CBS nodes Quick Insertions,MA-CBS-Local-10/(single:A*/SIC multi:EPEA*/SIC) choosing the first conflict in CBS nodes Quick Insertions Cancelled,MA-CBS-Local-10/(single:A*/SIC multi:EPEA*/SIC) choosing the first conflict in CBS nodes Max Group,MA-CBS-Local-10/(single:A*/SIC multi:EPEA*/SIC) choosing the first conflict in CBS nodes Solution Depth,Basic-CBS/(A*/SIC) choosing cardinal conflicts using lookahead Success,Basic-CBS/(A*/SIC) choosing cardinal conflicts using lookahead Runtime,Basic-CBS/(A*/SIC) choosing cardinal conflicts using lookahead Solution Cost,Basic-CBS/(A*/SIC) choosing cardinal conflicts using lookahead Expanded (HL),Basic-CBS/(A*/SIC) choosing cardinal conflicts using lookahead Generated (HL),Basic-CBS/(A*/SIC) choosing cardinal conflicts using lookahead Closed List Hits (HL),Basic-CBS/(A*/SIC) choosing cardinal conflicts using lookahead Partial Expansions (HL),Basic-CBS/(A*/SIC) choosing cardinal conflicts using lookahead Adoptions (HL),Basic-CBS/(A*/SIC) choosing cardinal conflicts using lookahead Pruning Successes (HL),Basic-CBS/(A*/SIC) choosing cardinal conflicts using lookahead Pruning Failures (HL),Basic-CBS/(A*/SIC) choosing cardinal conflicts using lookahead Nodes Expanded With Goal Cost (HL),Basic-CBS/(A*/SIC) choosing cardinal conflicts using lookahead Look Ahead Nodes Created (HL),Basic-CBS/(A*/SIC) choosing cardinal conflicts using lookahead Conflicts Bypassed With Adoption (HL),Basic-CBS/(A*/SIC) choosing cardinal conflicts using lookahead Cardinal Conflict Splits (HL),Basic-CBS/(A*/SIC) choosing cardinal conflicts using lookahead Semi-Cardinal Conflict Splits (HL),Basic-CBS/(A*/SIC) choosing cardinal conflicts using lookahead Non-Cardinal Conflict Splits (HL),Basic-CBS/(A*/SIC) choosing cardinal conflicts using lookahead MDDs Built (HL),Basic-CBS/(A*/SIC) choosing cardinal conflicts using lookahead Nodes Pushed Back (HL),Basic-CBS/(A*/SIC) choosing cardinal conflicts using lookahead Restarts (HL),Basic-CBS/(A*/SIC) choosing cardinal conflicts using lookahead Max Group Size (HL),EPEA*/SIC Expanded,EPEA*/SIC Generated,EPEA*/SIC Reopened,EPEA*/SIC BPMX boosts,EPEA*/SIC Closed List Hits,EPEA*/SIC Reopened With Old H,EPEA*/SIC H Updated From Other Area,EPEA*/SIC Max expansion delay,EPEA*/SIC Quick Insertions,EPEA*/SIC Quick Insertions Cancelled,EPEA*/SIC Expanded Full States,A*/SIC Expanded,A*/SIC Generated,A*/SIC Reopened,A*/SIC BPMX boosts,A*/SIC Closed List Hits,A*/SIC Reopened With Old H,A*/SIC H Updated From Other Area,A*/SIC Max expansion delay,A*/SIC Quick Insertions,A*/SIC Quick Insertions Cancelled,Basic-CBS/(A*/SIC) choosing cardinal conflicts using lookahead Quick Insertions,Basic-CBS/(A*/SIC) choosing cardinal conflicts using lookahead Quick Insertions Cancelled,Basic-CBS/(A*/SIC) choosing cardinal conflicts using lookahead Max Group,Basic-CBS/(A*/SIC) choosing cardinal conflicts using lookahead Solution Depth,Basic-CBS/(A*/SIC)+ID Success,Basic-CBS/(A*/SIC)+ID Runtime,Basic-CBS/(A*/SIC)+ID Solution Cost,Basic-CBS/(A*/SIC)+ID Expanded,Basic-CBS/(A*/SIC)+ID Generated,Basic-CBS/(A*/SIC)+ID Max Group Size,Basic-CBS/(A*/SIC)+ID Min Group Size,Basic-CBS/(A*/SIC)+ID Max Group,Basic-CBS/(A*/SIC)+ID Solution Depth,
Random Grid,80,80,60,1920,2,8.67361737988404E+41,0.3,65.5,126,9,61.66339,58.68962,0.2510937,0,300016.7476,-2,105655,234298,5,1,5,27,0,300026.3338,-2,456,546,52,10,0,0,0,99,0,0,83,58,11,0,0,0,4,1291467,3066443,22031,0,2049228,0,0,88230,329079,26460,470328,1819965,126,1,4,20,0,300033.9696,-2,3473,6946,0,0,0,0,0,1125,0,0,2696,737,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,460469,1496043,2325,0,364546,0,0,152,303311,72156,778,0,1,10,0,300006.3131,-2,2679,5359,0,0,0,0,0,331,0,0,1925,736,18,0,0,0,1,357365,1197555,1669,0,253588,0,0,152,247955,58436,357365,1444116,755,0,1,10,0,300003.5901,-2,354,400,65,2,0,0,0,0,0,0,73,38,0,0,0,0,4,813098,452082,2861,0,3168506,0,0,16920,332765,44548,442388,57,0,4,21,0,300044.5827,-2,27224,54447,0,0,0,0,0,3472,0,0,24702,2064,457,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4686152,14750150,54442,0,4211591,0,0,152,2926436,657776,2539,4,1,13,0,300002.1765,-2,1305,2103,0,5460,0,0,0,380,27650,0,798,9705,7116,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5832610,17931817,243993,0,6256272,0,0,692,3637690,806006,30,1,1,16,0,300057.0369,-2,5784,11282,7,1,7,13,
Unknown,80,80,65,1920,0,2.71050543121376E+45,0.3,63.7538461538462,137,5,61.38555,63.29604,0.2945313,0,300155.8115,-2,37393,89417,4,1,4,10,0,300018.61,-2,748,884,43,0,0,0,0,187,0,0,54,53,72,0,0,0,5,565053,1896697,3601,0,415373,0,0,42700,386857,51843,236034,935236,486,38,5,7,0,300013.9327,-2,2558,5115,0,0,0,0,0,818,0,0,1533,290,734,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5926763,16035585,127960,0,7692944,0,0,242,2889632,626920,1075,344,1,7,0,300083.4416,-2,2192,4384,0,0,0,0,0,452,0,0,1327,276,589,0,0,0,1,450297,1518294,14822,0,353080,0,0,242,311901,79503,450297,1852168,858,284,1,7,0,300004.7553,-2,971,1115,37,0,0,0,0,27,0,0,58,57,66,0,0,0,5,789989,606510,6000,0,1969526,0,0,20969,409585,72162,580069,606,30,5,9,0,300008.8196,-2,16689,33378,0,0,0,0,0,6433,0,0,8816,2995,4877,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3495669,11275394,63825,0,3190510,0,0,242,2237695,556842,8205,1487,1,8,0,300002.8096,-2,2625,4268,0,1256,0,0,0,1019,13604,0,1643,4000,3921,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5499126,15242008,450871,0,7720678,0,0,1757,2922955,658726,0,0,1,11,0,300124.5784,-2,14340,26693,17,1,17,8,
Unknown,80,80,65,1920,1,2.71050543121376E+45,0.3,61.3230769230769,111,0,53.98088,57.14545,0.2703125,0,300022.5705,-2,289377,837233,6,1,6,9,0,300074.6864,-2,248,355,0,10,0,0,0,85,0,0,34,63,20,0,0,0,5,1482832,4374501,22197,0,1716635,0,0,197202,922097,80296,342223,1385540,127,3,5,3,0,300020.764500001,-2,2699,5254,0,144,0,0,0,38,0,0,1132,1239,328,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7341259,18579659,74743,0,11322983,0,0,1150,3316065,731955,1270,204,1,5,0,300098.0043,-2,1442,2772,0,111,0,0,0,807,0,0,564,704,173,0,0,0,1,267882,916867,2558,0,187827,0,0,265,198073,41545,267882,1099364,585,91,1,4,0,300030.8169,-2,118,181,0,10,0,0,0,68,0,0,24,45,4,0,0,0,3,86788,73717,410,0,386730,0,0,55026,58965,7337,70324,60,3,3,2,0,300160.46,-2,1663,3235,0,91,0,0,0,1028,0,0,721,754,188,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,331580,1115069,2842,0,249054,0,0,265,238323,50924,723,98,1,4,0,300058.2039,-2,116,163,0,348,0,0,0,28,1907,0,47,904,259,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,399196,1125570,51151,0,573457,0,0,1533,216992,48057,2,0,1,8,0,300101.2595,-2,5275,9935,18,1,18,3,
